date,rub_to_usd
2011-04-17,28.166574
2011-04-15,28.166574
2017-03-07,57.972587
2021-01-13,73.873412
2015-12-22,71.189407
2020-02-11,64.108678
2016-01-20,78.390727
2012-11-21,31.308725
2005-05-11,27.963165
2006-11-14,26.656782
2018-01-08,56.998671
2021-12-12,73.423023
2010-02-18,30.292029
2005-05-24,28.11585
2009-06-26,31.062976
2009-06-28,31.062976
2009-06-27,31.062976
2021-05-08,73.719139
2021-05-07,73.719139
2022-05-12,65.09465
2021-12-18,74.12884
2022-01-14,76.174189
2019-11-11,63.783705
2019-10-21,63.865902
2017-05-18,56.753227
2022-05-04,66.915321
2009-11-26,29.300474
2020-08-03,73.051014
2020-11-11,77.082471
2007-09-22,25.03832
2007-09-23,25.03832
2007-09-21,25.03832
2022-06-13,57.714077
2019-03-07,65.951918
2015-02-09,67.12489
2022-04-11,83.494801
2018-12-22,68.282273
2018-12-21,68.282273
2018-12-23,68.282273
2015-02-04,65.093218
2021-12-28,73.6424
2019-02-17,66.658699
2019-02-15,66.658699
2019-02-16,66.658699
2007-03-27,25.96633
2021-11-01,71.621346
2007-06-05,25.81213
2013-10-10,32.332396
2022-01-20,76.618261
2012-08-19,31.886632
2012-08-17,31.886632
2012-08-18,31.886632
2009-09-14,30.749915
2010-11-11,30.596254
2016-02-22,75.773103
2019-12-16,62.828479
2014-10-07,39.719279
2021-02-24,73.514188
2009-11-20,28.988092
2009-11-22,28.988092
2009-11-21,28.988092
2015-03-16,62.317497
2019-05-07,65.300839
2015-09-28,65.21514
2017-06-12,56.966435
2019-12-31,62.002589
2021-11-25,74.550161
2015-05-07,50.650295
2011-07-09,27.882144
2011-07-08,27.882144
2011-07-10,27.882144
2013-10-21,31.124836
2013-12-25,32.628417
2011-02-22,29.145447
2014-05-22,34.261804
2014-02-27,36.026897
2010-02-11,30.116138
2012-08-31,32.530094
2012-09-01,32.530094
2012-09-02,32.530094
2020-12-29,73.769827
2015-12-03,66.288608
2021-04-28,74.402
2016-07-18,63.316113
2008-01-31,24.426505
2011-07-12,28.22007
2005-05-13,27.972416
2006-10-22,26.844245
2006-10-25,26.846861
2005-05-14,27.972416
2006-10-21,26.844245
2006-10-20,26.844245
2005-05-15,27.972416
2015-12-21,69.573873
2021-03-19,74.251396
2021-03-20,74.251396
2010-12-23,30.591536
2013-04-14,30.829127
2013-04-12,30.829127
2013-04-13,30.829127
2007-12-26,24.630729
2007-11-03,24.652747
2007-11-04,24.652747
2007-11-02,24.652747
2020-05-01,74.330014
2015-03-24,58.747282
2009-03-09,35.647627
2006-05-03,27.213816
2010-09-28,30.614629
2014-07-29,35.522137
2008-10-21,26.7001
2020-07-26,71.685241
2011-06-18,28.082823
2011-06-19,28.082823
2011-06-17,28.082823
2009-03-28,33.615633
2009-01-18,31.973668
2009-03-27,33.615633
2009-01-17,31.973668
2009-03-29,33.615633
2013-06-20,32.533027
